pH,NTU,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m
7.9,5.76,2014-11-13,2014-11-13T14:21:28Z,110,NA,967.3333333333334,22.707,101.6,8.77,82.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
8,3.18,2014-11-13,2014-11-13T14:21:48Z,110,NA,967.3333333333334,22.762,102.4,8.82,82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.015,0.2
8.02,3.18,2014-11-13,2014-11-13T14:21:53Z,110,NA,967.4666666666667,22.762,102.4,8.82,82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.051,0.3
8.04,3.19,2014-11-13,2014-11-13T14:21:58Z,110,NA,967.4666666666667,22.764,102.5,8.83,82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.106,0.5
8.05,3.2,2014-11-13,2014-11-13T14:22:03Z,110,NA,967.4666666666667,22.763,102.5,8.83,82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.19,0.8
8.05,3.23,2014-11-13,2014-11-13T14:22:08Z,110,NA,967.4666666666667,22.761,102.5,8.83,82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.059,1
8.06,3.24,2014-11-13,2014-11-13T14:22:13Z,110,NA,967.4666666666667,22.758,102.5,8.83,82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.191,1.2
8.07,3.28,2014-11-13,2014-11-13T14:22:18Z,110,NA,967.4666666666667,22.756,102.5,8.84,82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.268,1.4
8.08,3.32,2014-11-13,2014-11-13T14:22:28Z,110,NA,967.4666666666667,22.741,102.6,8.84,82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.368,1.6
8.08,3.35,2014-11-13,2014-11-13T14:22:33Z,110,NA,967.4666666666667,22.721,102.6,8.84,82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.435,1.8
8.08,3.34,2014-11-13,2014-11-13T14:22:38Z,110,NA,967.3333333333334,22.695,102.6,8.85,82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.514,1.9
8.08,3.34,2014-11-13,2014-11-13T14:22:43Z,110,NA,967.4666666666667,22.677,102.7,8.86,82.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.591,2.1
