X,pH,NTU,VPos.m,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,phycocyaninBGA_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m
18,8.63,27.21,0,2014-11-14,2014-11-14T17:14:30Z,048,NA,982.1333333333333,22.456,129.8,11.24,181.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0
23,8.51,28.47,0.4,2014-11-14,2014-11-14T17:14:43Z,048,NA,982.1333333333333,22.269,128.2,11.14,182.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.085,0.085
24,8.45,28.67,0.4,2014-11-14,2014-11-14T17:14:45Z,048,NA,982.1333333333333,22.174,122.9,10.7,182.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.11,0.11
25,8.42,28.79,0.4,2014-11-14,2014-11-14T17:14:48Z,048,NA,982.1333333333333,22.058,121,10.56,182.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.144,0.144
26,8.4,29.24,0.5,2014-11-14,2014-11-14T17:14:50Z,048,NA,982,21.928,119.9,10.49,182.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.176,0.176
27,8.28,29.32,0.7,2014-11-14,2014-11-14T17:14:53Z,048,NA,982.2666666666668,21.763,114.2,10.02,182.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.218,0.218
28,8.23,29.3,0.7,2014-11-14,2014-11-14T17:14:55Z,048,NA,982.2666666666668,21.618,112.2,9.88,182.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.264,0.264
29,8.22,29.05,0.7,2014-11-14,2014-11-14T17:14:58Z,048,NA,982.2666666666668,21.459,110.5,9.75,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.309,0.309
30,8.2,29.4,0.7,2014-11-14,2014-11-14T17:15:00Z,048,NA,982,21.282,109.5,9.7,183.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.354,0.354
31,8.18,29.52,0.8,2014-11-14,2014-11-14T17:15:03Z,048,NA,982.2666666666668,21.091,108.6,9.66,183.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.404,0.404
32,8.16,29.45,0.8,2014-11-14,2014-11-14T17:15:05Z,048,NA,982.1333333333333,20.951,104.6,9.33,183.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.453,0.453
33,8.14,29.64,0.9,2014-11-14,2014-11-14T17:15:08Z,048,NA,982.1333333333333,20.763,103.7,9.28,183,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.519,0.519
34,8.13,30.13,1,2014-11-14,2014-11-14T17:15:10Z,048,NA,982,20.625,103.3,9.27,182.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.572,0.572
35,8.03,30.22,1,2014-11-14,2014-11-14T17:15:13Z,048,NA,982.1333333333333,20.526,103,9.26,182.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.623,0.623
36,8.02,30.28,1.1,2014-11-14,2014-11-14T17:15:15Z,048,NA,982,20.45,102.7,9.25,182.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.678,0.678
37,8.01,30.39,1.1,2014-11-14,2014-11-14T17:15:18Z,048,NA,982.1333333333333,20.396,102.4,9.23,182.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.734,0.734
38,8,30.41,1.1,2014-11-14,2014-11-14T17:15:20Z,048,NA,982,20.366,102.2,9.22,182.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.786,0.786
39,7.99,30.68,1.3,2014-11-14,2014-11-14T17:15:23Z,048,NA,982.2666666666668,20.327,101.7,9.18,182.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.838,0.838
40,7.99,30.53,1.3,2014-11-14,2014-11-14T17:15:25Z,048,NA,982,20.297,101.2,9.14,182.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.894,0.894
41,7.98,30.59,1.3,2014-11-14,2014-11-14T17:15:28Z,048,NA,982.1333333333333,20.267,100.8,9.11,182.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.943,0.943
42,7.97,30.29,1.3,2014-11-14,2014-11-14T17:15:30Z,048,NA,982.2666666666668,20.241,100.4,9.08,182.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.991,0.991
43,7.97,30.35,1.4,2014-11-14,2014-11-14T17:15:33Z,048,NA,982.1333333333333,20.214,100,9.05,182.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.032,1.032
44,7.96,30.28,1.3,2014-11-14,2014-11-14T17:15:35Z,048,NA,982.2666666666668,20.195,99.7,9.03,182.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.076,1.076
45,7.96,30.36,1.4,2014-11-14,2014-11-14T17:15:38Z,048,NA,982.2666666666668,20.184,99.5,9.01,182.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.121,1.121
46,7.95,30.46,1.6,2014-11-14,2014-11-14T17:15:40Z,048,NA,982.2666666666668,20.167,99.3,8.99,182.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.172,1.172
47,7.94,30.39,1.7,2014-11-14,2014-11-14T17:15:43Z,048,NA,982.2666666666668,20.145,99,8.97,182.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.229,1.229
48,7.93,30.59,1.6,2014-11-14,2014-11-14T17:15:45Z,048,NA,982.1333333333333,20.126,98.8,8.95,182.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.28,1.28
49,7.92,30.75,1.6,2014-11-14,2014-11-14T17:15:48Z,048,NA,982.2666666666668,20.107,98.5,8.94,182.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.326,1.326
50,7.91,30.68,1.6,2014-11-14,2014-11-14T17:15:50Z,048,NA,982.2666666666668,20.089,98.3,8.92,182.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.364,1.364
51,7.9,30.69,1.8,2014-11-14,2014-11-14T17:15:53Z,048,NA,982.2666666666668,20.062,98.1,8.9,182.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.418,1.418
52,7.89,30.75,1.8,2014-11-14,2014-11-14T17:15:55Z,048,NA,982.2666666666668,20.042,97.8,8.88,182.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.462,1.462
53,7.88,30.71,1.8,2014-11-14,2014-11-14T17:15:58Z,048,NA,982.1333333333333,20.024,97.6,8.87,182.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.506,1.506
54,7.88,30.69,1.8,2014-11-14,2014-11-14T17:16:00Z,048,NA,982.1333333333333,19.999,97.4,8.85,182.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.545,1.545
55,7.87,30.89,1.9,2014-11-14,2014-11-14T17:16:03Z,048,NA,982.1333333333333,19.967,97.2,8.84,182.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.584,1.584
56,7.86,30.6,2,2014-11-14,2014-11-14T17:16:05Z,048,NA,982.2666666666668,19.938,97,8.82,182.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63,1.63
57,7.86,30.47,1.9,2014-11-14,2014-11-14T17:16:08Z,048,NA,982.1333333333333,19.918,96.8,8.81,182.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.675,1.675
58,7.85,30.7,2,2014-11-14,2014-11-14T17:16:10Z,048,NA,982.1333333333333,19.898,96.6,8.79,182.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.717,1.717
59,7.85,30.91,2.2,2014-11-14,2014-11-14T17:16:13Z,048,NA,982.1333333333333,19.853,96.3,8.78,182.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.768,1.768
60,7.84,30.71,2.3,2014-11-14,2014-11-14T17:16:15Z,048,NA,982.2666666666668,19.79,96,8.76,182.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.83,1.83
61,7.84,30.71,2.3,2014-11-14,2014-11-14T17:16:18Z,048,NA,982,19.72,95.6,8.73,182.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.892,1.892
62,7.83,30.75,2.4,2014-11-14,2014-11-14T17:16:20Z,048,NA,982.2666666666668,19.647,95.1,8.7,182.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.939,1.939
63,7.83,30.96,2.4,2014-11-14,2014-11-14T17:16:23Z,048,NA,982.2666666666668,19.558,94.5,8.67,182.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.987,1.987
64,7.82,30.59,2.4,2014-11-14,2014-11-14T17:16:25Z,048,NA,982.2666666666668,19.484,94,8.63,182.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.037,2.037
