pH,phycocyaninBGA_RFU,date,dateTime,MULakeNumber,waterPressure_barA,barometerAirHandheld_mbars,temp_degC,doSaturation_percent,doConcentration_mgpL,specificConductivity_uSpcm,turbidity_FNU,chlorophyll_RFU,salinity_psu,tds_mgpL,orp_mV,latitude,longitude,altitude_m,depth_m,verticalPosition_m
8.95,1.187,2018-06-13,2018-06-13T14:20:25Z,150,NA,991.1999999999999,29.803,132,10.01,170.4,11.59,1.08,NA,NA,NA,NA,NA,NA,0.058,0.058
9.04,1.245,2018-06-13,2018-06-13T14:21:03Z,150,NA,991.3333333333334,29.779,132.8,10.07,170.8,11.21,1.222,NA,NA,NA,NA,NA,NA,0.203,0.203
9.04,1.28,2018-06-13,2018-06-13T14:21:05Z,150,NA,991.0666666666666,29.748,132.8,10.07,170.8,11.21,1.249,NA,NA,NA,NA,NA,NA,0.227,0.227
9.05,1.317,2018-06-13,2018-06-13T14:21:07Z,150,NA,991.0666666666666,29.72,132.7,10.07,170.8,11.24,1.301,NA,NA,NA,NA,NA,NA,0.25,0.25
9.05,1.363,2018-06-13,2018-06-13T14:21:09Z,150,NA,991.1999999999999,29.692,132.7,10.08,170.8,11.25,1.315,NA,NA,NA,NA,NA,NA,0.277,0.277
9.05,1.425,2018-06-13,2018-06-13T14:21:11Z,150,NA,991.3333333333334,29.664,132.6,10.08,170.8,11.34,1.331,NA,NA,NA,NA,NA,NA,0.302,0.302
9.06,1.468,2018-06-13,2018-06-13T14:21:13Z,150,NA,991.0666666666666,29.636,132.7,10.09,170.8,11.46,1.346,NA,NA,NA,NA,NA,NA,0.327,0.327
9.06,1.522,2018-06-13,2018-06-13T14:21:15Z,150,NA,991.3333333333334,29.617,132.7,10.1,170.8,11.52,1.332,NA,NA,NA,NA,NA,NA,0.356,0.356
9.06,1.568,2018-06-13,2018-06-13T14:21:17Z,150,NA,991.1999999999999,29.605,132.8,10.1,170.8,11.48,1.33,NA,NA,NA,NA,NA,NA,0.389,0.389
9.06,1.614,2018-06-13,2018-06-13T14:21:19Z,150,NA,991.1999999999999,29.596,132.8,10.11,170.8,11.59,1.342,NA,NA,NA,NA,NA,NA,0.427,0.427
9.06,1.648,2018-06-13,2018-06-13T14:21:21Z,150,NA,991.1999999999999,29.586,132.8,10.11,170.7,11.66,1.347,NA,NA,NA,NA,NA,NA,0.464,0.464
9.06,1.691,2018-06-13,2018-06-13T14:21:23Z,150,NA,991.1999999999999,29.568,132.8,10.11,170.7,11.62,1.375,NA,NA,NA,NA,NA,NA,0.507,0.507
9.06,1.734,2018-06-13,2018-06-13T14:21:25Z,150,NA,991.1999999999999,29.548,132.9,10.12,170.8,11.53,1.367,NA,NA,NA,NA,NA,NA,0.548,0.548
9.06,1.777,2018-06-13,2018-06-13T14:21:27Z,150,NA,991.1999999999999,29.529,132.9,10.12,170.8,11.4,1.373,NA,NA,NA,NA,NA,NA,0.593,0.593
9.06,1.824,2018-06-13,2018-06-13T14:21:29Z,150,NA,991.1999999999999,29.5,132.9,10.13,170.9,11.37,1.385,NA,NA,NA,NA,NA,NA,0.632,0.632
9.06,1.845,2018-06-13,2018-06-13T14:21:31Z,150,NA,991.1999999999999,29.479,132.9,10.13,170.9,11.41,1.371,NA,NA,NA,NA,NA,NA,0.673,0.673
9.06,1.889,2018-06-13,2018-06-13T14:21:33Z,150,NA,991.1999999999999,29.456,132.9,10.13,170.9,11.33,1.359,NA,NA,NA,NA,NA,NA,0.71,0.71
9.06,1.947,2018-06-13,2018-06-13T14:21:35Z,150,NA,991.1999999999999,29.439,132.8,10.13,170.8,11.14,1.374,NA,NA,NA,NA,NA,NA,0.752,0.752
9.06,1.968,2018-06-13,2018-06-13T14:21:37Z,150,NA,991.1999999999999,29.426,132.8,10.14,170.8,11.24,1.369,NA,NA,NA,NA,NA,NA,0.789,0.789
9.06,2.015,2018-06-13,2018-06-13T14:21:39Z,150,NA,991.1999999999999,29.409,132.8,10.14,170.7,11.35,1.382,NA,NA,NA,NA,NA,NA,0.828,0.828
9.07,2.061,2018-06-13,2018-06-13T14:21:41Z,150,NA,991.1999999999999,29.383,132.7,10.13,170.7,11.39,1.383,NA,NA,NA,NA,NA,NA,0.867,0.867
9.07,2.055,2018-06-13,2018-06-13T14:21:43Z,150,NA,991.1999999999999,29.361,132.6,10.13,170.7,11.5,1.378,NA,NA,NA,NA,NA,NA,0.912,0.912
9.07,2.073,2018-06-13,2018-06-13T14:21:45Z,150,NA,991.1999999999999,29.339,132.6,10.13,170.7,11.63,1.386,NA,NA,NA,NA,NA,NA,0.954,0.954
9.07,2.074,2018-06-13,2018-06-13T14:21:47Z,150,NA,991.0666666666666,29.319,132.5,10.13,170.7,11.62,1.366,NA,NA,NA,NA,NA,NA,1,1
9.07,2.102,2018-06-13,2018-06-13T14:21:49Z,150,NA,991.1999999999999,29.29,132.5,10.14,170.7,11.91,1.35,NA,NA,NA,NA,NA,NA,1.044,1.044
9.07,2.101,2018-06-13,2018-06-13T14:21:51Z,150,NA,991.1999999999999,29.263,132.5,10.14,170.7,12.02,1.328,NA,NA,NA,NA,NA,NA,1.089,1.089
9.08,2.117,2018-06-13,2018-06-13T14:21:53Z,150,NA,991.1999999999999,29.244,132.6,10.15,170.6,12.14,1.327,NA,NA,NA,NA,NA,NA,1.139,1.139
9.08,2.162,2018-06-13,2018-06-13T14:21:55Z,150,NA,991.1999999999999,29.218,132.6,10.15,170.6,12.16,1.288,NA,NA,NA,NA,NA,NA,1.186,1.186
9.08,2.172,2018-06-13,2018-06-13T14:21:57Z,150,NA,991.1999999999999,29.173,132.6,10.16,170.6,12.36,1.283,NA,NA,NA,NA,NA,NA,1.238,1.238
9.08,2.171,2018-06-13,2018-06-13T14:21:59Z,150,NA,991.3333333333334,29.121,132.7,10.18,170.6,12.39,1.28,NA,NA,NA,NA,NA,NA,1.284,1.284
9.09,2.171,2018-06-13,2018-06-13T14:22:01Z,150,NA,991.1999999999999,29.071,132.8,10.2,170.5,12.37,1.26,NA,NA,NA,NA,NA,NA,1.334,1.334
