Level0_profiles,MULakeNumber,year,month,day,csv,Level0to1_done,Level0to1_done_date,profile_date,maxDepth_m,latitude,longitude,altitude_m,barometerAirHandheld_mbars,doConcentration_mgpL_bottom,doConcentration_mgpL_bottom5mean,nrow_original_Level0,nrow_readProfile,nrow_Level1,Level1FileName
003_2020_06_29.csv,003,2020,06,29,csv,Yes,2023-06-28,2020-06-29,13.474666666666666,39.34166469945355,-91.15277428961748,242.15245901639344,987.0827868852459,0,0,405,135,122,003_2020_06_29_Level1.csv
003_2020_07_20.csv,003,2020,07,20,csv,Yes,2023-06-28,2020-07-20,13.833,39.34162053846154,-91.15298346153847,240.16615384615383,992.22,0.07,0.07,213,213,130,003_2020_07_20_Level1.csv
003_2020_08_10.csv,003,2020,08,10,csv,Yes,2023-06-28,2020-08-10,14.851,39.34166766129032,-91.15267016129032,241.19032258064516,989.7677419354839,0.07,0.06333333333333334,275,275,124,003_2020_08_10_Level1.csv
003_2020_09_15.csv,003,2020,09,15,csv,Yes,2023-06-28,2020-09-15,7.96,39.34166526315789,-91.15331263157894,238.9842105263158,996.7684210526315,0.05,0.05,359,359,19,003_2020_09_15_Level1.csv
005_2020_07_20.csv,005,2020,07,20,csv,Yes,2023-06-28,2020-07-20,6.863,39.021813968253966,-90.92007,169.66031746031746,1000.3920634920635,1.23,1.3716666666666666,96,96,63,005_2020_07_20_Level1.csv
005_2020_08_10.csv,005,2020,08,10,csv,Yes,2023-06-28,2020-08-10,13.895,39.020956846153844,-90.92026961538461,167.1469230769231,998.0023076923077,0.08,0.08833333333333333,234,234,130,005_2020_08_10_Level1.csv
005_2020_08_24.csv,005,2020,08,24,csv,Yes,2023-06-28,2020-08-24,13.798666666666666,39.02112243589744,-90.92015519230769,170.84358974358975,1001.5054487179488,-0.01,-0.006666666666666667,483,162,104,005_2020_08_24_Level1.csv
005_2020_09_15.csv,005,2020,09,15,csv,Yes,2023-06-28,2020-09-15,9.142,39.02128578947368,-90.92023789473684,169.3578947368421,1003.8421052631578,0.09,0.09166666666666666,379,379,19,005_2020_09_15_Level1.csv
011_2020_07_01.csv,011,2020,07,01,csv,Yes,2023-06-28,2020-07-01,9.861,38.35854345679012,-91.53830160493827,232.0074074074074,986.325925925926,0.1,0.1,167,167,81,011_2020_07_01_Level1.csv
011_2020_07_22.csv,011,2020,07,22,csv,Yes,2023-06-28,2020-07-22,9.329,38.35897154761905,-91.53857035714286,232.68690476190477,992.6511904761905,0.32,0.32666666666666666,112,112,84,011_2020_07_22_Level1.csv
